Tower_ID,Region,Uptime_Percentage,Downtime_Hours,Signal_Strength,Data_Traffic_GB,Maintenance_Cost,Fault_Count
1102,Mysore,90.38425646,13.06367204,74.2773435,685.6463144,16707.0547,6
1435,Mandy,94.01690569,4.058115911,56.57667112,950.2764786,20424.13505,6
1860,Hubli,97.99073419,18.25358306,86.22990055,422.7769109,24154.2673,7
1270,Hassan,95.22697265,13.08833048,70.34181025,940.2001111,35617.59609,6
1106,Bangalore,95.50038741,12.50323623,57.02898797,703.5578427,26068.19342,3
1071,Belgaum,90.97164682,18.08391272,87.07975234,270.8519344,22811.8801,4
1700,Mysore,91.32330556,18.14530161,55.1681096,230.7750284,40120.9926,3
1020,Chikkmagaluru,96.76999605,2.711002413,78.74102113,258.6696388,8233.183918,1
1614,Bangalore,96.75046622,2.90151008,80.37425848,729.3021171,34364.16008,6
1121,Mysore,99.79103394,15.23897398,96.51752502,630.5691577,25201.54992,2
1466,Bangalore,97.11952988,19.13759891,57.54902493,509.9892139,20068.40785,0
1214,Chikkmagaluru,94.93243496,13.33027357,82.66731799,337.0192555,46740.90604,0
1330,Mysore,98.57327824,8.226339972,69.03842907,916.5080872,40006.82032,8
1458,Hassan,91.04472986,13.6694628,70.04071735,292.3691457,14866.64368,2
1087,Hassan,94.49295821,4.576231527,75.0912591,355.2455961,34355.13965,6
1372,Chikkmagaluru,92.87109111,19.959326,61.6892306,149.426332,42002.89212,8
1099,Hubli,91.04637807,8.621704357,73.05916195,347.7927735,49520.28045,6
1871,Chikkmagaluru,97.63502085,18.63372005,84.34230842,930.607909,36429.12474,7
1663,Hubli,95.1079203,8.615961057,72.85565198,268.8436209,36081.09268,5
1130,Mysore,95.5676872,18.56279562,52.12542137,283.5665872,32598.13976,2
1661,Hubli,94.11255188,6.71370883,62.89131238,639.9796568,6800.117511,0
1308,Mysore,94.60337232,15.21085969,67.57301064,610.2581415,31327.54096,9
1769,Mysore,91.16017387,19.02004025,67.73605684,258.3626983,41227.14451,7
1343,Mandy,96.72917824,12.91961356,54.05034463,238.838382,22793.82999,5
1491,Belgaum,94.3244736,13.55130452,72.47852758,205.279267,31414.06621,1
1413,Mysore,98.16767573,2.057724906,84.59745095,874.9769334,46691.96966,9
1805,Hubli,91.962872,9.484398943,52.4336009,688.9916989,12741.53476,7
1385,Belgaum,92.05055093,17.73510812,87.54620862,958.1011047,17621.4095,3
1191,Belgaum,96.45759572,4.818196725,97.75526015,249.2501676,9964.288525,9
1955,Mysore,98.46003423,15.76726027,50.46690782,514.5432633,27511.00719,8
1276,Chikkmagaluru,94.72197839,13.51419772,59.6846158,768.7417552,42784.22264,8
1160,Chikkmagaluru,97.26953869,4.459719295,77.17438912,292.1934891,24584.76541,8
1459,Hassan,99.99329921,5.655824105,60.90247433,716.2090689,8142.793596,3
1313,Belgaum,99.9026564,8.551218002,88.23130158,526.4230211,16859.19718,5
1021,Mysore,97.44336843,2.50258431,65.60671575,487.7459215,45036.79293,3
1252,Mandy,97.3958649,18.26742594,64.68126412,680.4978801,30088.58497,9
1747,Chikkmagaluru,92.47618887,14.7871521,50.04619379,520.9250095,46133.20536,9
1856,Mandy,98.33539632,7.299282,63.50630941,838.0116993,42549.71285,4
1560,Mysore,94.05102127,5.993309906,60.8835261,937.4692307,23643.12259,6
1474,Mysore,99.6199391,13.79157741,67.16204836,629.9728583,33509.48,6
1058,Belgaum,90.81427689,8.484418439,57.38283265,370.535051,34899.13102,9
1510,Mandy,94.35840369,4.586731438,79.73243332,799.4999657,38605.88463,5
1681,Hassan,95.55840488,8.603015059,61.93707717,253.4407712,19983.49279,9
1475,Belgaum,94.05156207,17.42593966,91.58754324,185.4917454,18004.52505,3
1699,Bangalore,92.10579191,1.372132731,64.22789734,566.8583635,35806.49469,4
1975,Mandy,95.92988489,7.367164946,60.54347997,682.0622504,41843.94042,4
1782,Chikkmagaluru,97.55917915,19.24678846,52.8375681,851.4981735,23641.10539,8
1189,Chikkmagaluru,96.44838596,0.296636849,86.9953345,959.6911647,19448.0845,5
1957,Chikkmagaluru,92.34448849,17.81280635,75.41040875,886.0042773,42149.14893,3
1686,Hubli,97.31607944,7.496673972,55.68914987,989.8296162,35912.77427,5
1957,Mysore,92.56897806,3.790364092,61.06673913,528.1299994,20459.75087,6
1562,Belgaum,91.75202363,0.299594949,99.9359536,384.8838565,28834.97117,6
1875,Chikkmagaluru,96.90668015,1.410456028,90.30143634,513.7356508,48238.81218,9
1566,Bangalore,98.42787246,3.436867284,67.49347429,679.7174502,38744.21022,2
1243,Chikkmagaluru,94.81539448,0.508184768,77.12774153,556.5309486,14974.91638,5
1831,Hassan,95.31391793,6.716997362,70.80085795,670.7078397,18276.40158,6
1504,Mysore,93.0274757,0.897862287,51.81947827,898.0503618,16934.92953,0
1130,Mandy,94.94618015,13.84432124,88.93385046,249.2306797,43175.70344,3
1484,Mysore,91.31982998,16.37814227,85.84930566,208.2376139,33863.86532,6
1818,Mandy,99.5583083,17.74927847,70.44011572,548.6669316,47299.8825,9
1646,Mandy,98.00360654,10.98256362,92.29485684,983.5913058,9092.037696,0
1020,Belgaum,96.67973061,18.93019082,76.73695474,153.1391511,7340.17082,7
1840,Hubli,95.38194372,0.112909011,53.26042197,987.9015745,35429.08215,5
1166,Mandy,97.92169136,2.680366443,62.97031451,970.9359532,16998.07616,5
1273,Mandy,94.9475724,5.863319615,73.0886418,363.3395627,35562.72347,2
1387,Belgaum,92.99973908,15.78048884,55.17246194,901.9034167,37556.1578,5
1600,Chikkmagaluru,91.60374235,17.7077828,78.55405964,106.9827253,18701.65145,3
1315,Hassan,96.47585589,12.36268903,56.02840808,508.6550314,47870.06488,8
1013,Bangalore,99.29425745,7.664726888,60.02540927,461.9111421,39863.3399,3
1241,Belgaum,91.53618554,13.31691207,94.69918307,912.3922061,21530.97966,5
1776,Hubli,91.80018045,3.61798744,99.9906194,525.0665583,23545.33976,5
1345,Belgaum,94.33606033,9.157481043,77.5126672,476.1448781,37214.21526,0
1564,Mysore,98.06899348,10.15088197,80.98243051,675.6351493,18681.65369,3
1897,Chikkmagaluru,92.93922729,2.09742442,89.87155735,438.2192697,18291.88306,8
1339,Chikkmagaluru,92.53912925,0.677453204,84.80697481,582.903611,33120.92925,9
1091,Mandy,96.19966291,15.00210995,59.12332723,960.0099177,11065.74259,5
1366,Chikkmagaluru,95.35614782,10.69412719,70.58357623,282.3555779,49700.42138,3
1955,Chikkmagaluru,90.60220364,6.644774038,76.75582595,513.0215188,17925.67947,6
1454,Chikkmagaluru,90.81489977,8.744572633,67.98559961,113.8396009,22222.15099,9
1427,Chikkmagaluru,96.4301298,19.15406826,58.80530849,858.0133734,15091.9262,6
1508,Bangalore,94.65123599,7.698275438,86.8056672,182.815625,33957.3216,4
1775,Hubli,99.70977192,2.069584533,59.94232025,185.2861105,7721.988328,3
1942,Mandy,96.78531411,9.272043591,63.02429644,894.5554403,46751.38956,3
1034,Chikkmagaluru,90.10073662,12.96096747,64.32598076,468.3664257,18679.34191,6
1205,Mandy,94.8101878,0.242262322,58.08896152,718.5659026,46731.88685,5
1080,Hubli,94.14447935,6.6468112,92.47758115,872.0617332,16409.26388,3
1931,Hassan,91.0671386,7.870288403,80.53081594,437.0297991,28120.46751,2
1561,Chikkmagaluru,99.23208836,9.274296915,91.7374065,335.3927102,36282.72568,1
1871,Mandy,98.05011299,6.033683873,74.68646568,252.5661941,32568.20957,3
1387,Belgaum,92.30085908,13.33844517,75.97815201,646.4074717,28062.1654,6
1001,Mandy,92.55980759,18.89418447,80.80723151,327.0452062,40483.97208,1
1389,Chikkmagaluru,90.32018053,18.27996352,68.5459772,670.8591872,26172.23173,8
1565,Mysore,92.96717452,13.2878683,74.82920474,385.4279489,19992.84987,8
1105,Bangalore,95.84622009,10.13768132,77.34575645,412.9991103,37336.68174,5
1771,Belgaum,94.20843388,16.51630253,97.67712181,324.2029593,47177.21958,8
1821,Belgaum,99.69255464,16.71874376,94.14540659,476.6213862,32062.34188,0
1476,Mysore,90.56080169,16.59146106,56.46229237,245.9169299,17586.91974,5
1702,Chikkmagaluru,95.91430159,3.156918757,52.06412334,387.7359648,39326.39628,2
1401,Bangalore,98.58309441,0.508646827,84.01669759,800.0921578,39286.61528,5
1729,Belgaum,94.80740912,19.66386819,52.45993333,294.0570025,17008.88564,4
1555,Bangalore,90.02962721,19.19308391,53.01755325,952.4018959,22308.36223,4
1161,Belgaum,92.428015,11.28756922,57.96316984,543.6296015,11342.51723,0
1201,Chikkmagaluru,93.23768976,19.86127433,67.58535454,196.2280418,8585.040979,4
1957,Hassan,99.65994495,15.4109409,71.74980559,948.7550908,41331.32249,5
1995,Belgaum,99.11773282,10.34760367,75.96890174,511.0104389,21765.93142,0
1269,Hassan,99.49170505,7.786621343,99.61440965,601.2686732,17659.03817,9
1862,Belgaum,98.25758458,11.85726419,69.26163774,266.6752971,16524.10941,6
1815,Hubli,93.51647734,10.31604203,62.13765483,399.9780891,8366.252252,0
1270,Chikkmagaluru,99.05876422,19.87605053,78.76262043,733.2742319,49318.82323,6
1455,Mysore,99.81684506,9.80920632,60.75754763,211.572456,21517.05053,8
1461,Hassan,93.50071312,16.71842172,97.02717159,613.4129644,12391.22356,6
1726,Mysore,92.60555966,16.27247646,62.9627151,724.1704896,43886.31574,9
1251,Chikkmagaluru,95.46916293,1.42812547,99.49670678,101.6529762,37540.39294,4
1701,Mandy,91.87152193,1.740135346,70.93340952,853.8187881,34817.93666,2
1295,Mysore,90.32624221,13.1962023,90.63430037,150.6999663,18374.66209,6
1724,Chikkmagaluru,99.45831171,5.182160135,82.41401625,322.2281721,23695.65082,5
1719,Mysore,99.25740632,13.15054069,96.67470872,967.1904085,42848.93016,7
1748,Hassan,91.62653854,2.892517886,81.27134765,172.9367167,33795.3757,7
1337,Hubli,94.07740247,7.941364544,79.06089897,843.3465035,20554.34489,9
1878,Mysore,98.31036313,2.049405327,82.64262223,686.7984607,9917.591831,5
1052,Hassan,96.61000299,5.641861536,89.32327661,638.540761,45512.16941,6
1791,Belgaum,93.94787509,1.765971802,94.94208161,623.5141971,47999.18544,2
1921,Chikkmagaluru,97.44170997,19.4115731,63.340745,249.8127385,37345.7716,3
1216,Bangalore,98.97047388,7.90116869,60.04435459,701.9398055,36112.63149,6
1763,Mandy,99.26158331,18.02377536,51.71748478,956.4685694,29196.95171,5
1187,Bangalore,93.78849612,19.42343538,68.50396015,169.3310549,48717.96963,2
1379,Chikkmagaluru,91.7356068,18.1912532,92.30925114,399.1712779,36236.77065,9
1492,Hubli,99.12838858,9.099193287,53.49287143,525.0265255,8453.045908,6
1040,Mysore,90.92555446,15.57794595,76.92600382,309.0620587,9127.822693,2
1156,Hubli,97.21688391,3.073989675,84.73943181,766.8021167,48360.76251,9
1014,Bangalore,91.40497315,1.896652276,91.84265166,719.7605589,47447.57672,7
1812,Mandy,93.89386855,17.53802936,79.1715161,205.9994062,30102.61203,6
1064,Hassan,94.11555747,0.622402914,59.31600051,612.5161669,14636.33438,3
1856,Mandy,91.58757915,19.44654702,98.22681291,431.985679,31257.75909,0
1838,Chikkmagaluru,99.22681434,13.4426776,54.73257552,305.5437715,39359.47343,5
1520,Chikkmagaluru,90.02668168,8.392260428,88.44998059,863.4642851,5372.704608,4
1343,Hubli,98.93808543,2.827506528,54.32796119,149.206605,42026.56658,8
1128,Hassan,98.83829323,14.46462302,57.17095538,520.6512507,25915.87518,9
1647,Hubli,93.16963654,11.26223509,94.91077968,527.7804062,25842.37857,5
1471,Mysore,97.0428427,14.22254015,87.65373293,613.1101576,24543.80433,0
1062,Belgaum,92.52808911,8.358444113,68.27541356,277.8347768,36133.07425,2
